"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"Oregon : industrial","number of customers","ELEC.CUSTOMERS.OR-IND.M",18913,18766,23408,18964,22436,22602,27336,27391,27362,22747,19813,18969,18968,18896,22644,19115,22638,26389,26412,26449,26461,22703,19775,19335,19220,19457,23271,19742,22518,22444,27321,27433,27384,22664,20146,20033,20033,20057,22888,20225,23003,23123,25852,25940,25925,25857,23513,23180,21463,21561,21563,21671,24511,24438,24457,24587,24511,24578,23424,22845,21725,21705,21782,21868,24817,24852,24943,24891,24821,24688,22481,22113,21696,21596,21782,22150,24642,24675,24840,24785,24797,24785,22472,22038,23539,23517,23789,23888,26413,26587,26609,26664,26707,26689,24592,23904,23642,23643,23793,24061,25528,25648,25658,25802,25697,25633,23416,23029,22811,22772,22873,22907,25717,25870,25841,25946,25872,25480,23283,23198,23223,22667,22777,23400,25680,25844,25831,25887,25764,25689,25213,25857,24733,24566,24619,25097,25523,25526,25629,25699,25596,25157,24699,25141,26271,26207,26295,26825,26981,27088,27142,27095,27025,25097,26156
"Oregon : transportation","number of customers","ELEC.CUSTOMERS.OR-TRA.M",45,45,45,45,45,45,45,45,44,44,46,47,47,49,52,53,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Oregon : other","number of customers","ELEC.CUSTOMERS.OR-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington","number of customers","ELEC.CUSTOMERS.WA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington : all sectors","number of customers","ELEC.CUSTOMERS.WA-ALL.M",3145488,3149219,3166653,3159315,3160390,3155921,3176510,3183120,3179968,3190816,3139184,3172348,3174596,3172911,3199964,3186903,3189434,3182865,3202100,3193660,3196860,3203820,3166070,3198316,3189468,3188967,3222276,3205209,3198811,3191827,3212654,3222511,3221780,3200127,3193558,3231803,3194770,3191682,3241239,3212450,3219980,3215606,3215897,3234589,3234340,3219449,3216955,3238951,3203448,3236580,3248773,3227802,3243095,3227644,3240672,3255388,3225626,3261821,3227910,3238983,3272391,3261862,3273643,3261268,3271607,3248554,3274676,3263988,3266777,3296042,3264637,3268588,3286060,3265341,3291697,3287467,3304347,3281739,3309235,3296822,3305866,3320394,3305289,3312517,3316490,3338680,3338288,3332284,3332964,3332321,3345385,3331452,3354738,3365398,3327773,3364456,3330282,3348639,3402437,3359327,3371693,3380911,3364741,3400504,3408931,3401369,3402045,3421142,3409880,3415712,3453878,3423235,3450942,3449028,3440191,3471378,3442265,3480634,3459578,3461615,3479067,3460146,3488257,3470066,3484441,3489839,3496120,3513141,3481534,3511101,3502973,3485593,3541338,3493520,3535307,3520624,3554563,3527179,3561626,3521738,3519990,3620792,3550073,3559254,3574875,3548191,3553612,3616252,3579287,3583652,3606394,3584972,3602846,3601868,3582137
"Washington : residential","number of customers","ELEC.CUSTOMERS.WA-RES.M",2774451,2779530,2785782,2790455,2786319,2783669,2793807,2800848,2796412,2813346,2767316,2798307,2797663,2800741,2814821,2810485,2810719,2800422,2816319,2809843,2811650,2825285,2792080,2821587,2812518,2813369,2833331,2827159,2820499,2815280,2824844,2834823,2832726,2822452,2816229,2850116,2818568,2816571,2854676,2835115,2839995,2836672,2831424,2849686,2847200,2836127,2832527,2852963,2824129,2854694,2863478,2846471,2857533,2846052,2855662,2870049,2842209,2875823,2842499,2854499,2884053,2876742,2884734,2875488,2879707,2862051,2883105,2875868,2876535,2903818,2876112,2881859,2897422,2880698,2901651,2899761,2912494,2894791,2916503,2907444,2914136,2928697,2916089,2922719,2925362,2947126,2944691,2940063,2938761,2940289,2949476,2938905,2956051,2966918,2933914,2967556,2940929,2959631,3004846,2967370,2977186,2986536,2971812,3003089,3004301,2997908,2998580,3017400,3004502,3010951,3043129,3018640,3039780,3040339,3031964,3059103,3032740,3069648,3049378,3051887,3067600,3053229,3075452,3061123,3071350,3077952,3082741,3097854,3069952,3098005,3091054,3076101,3127172,3084943,3119915,3108831,3135106,3112767,3141314,3107371,3104397,3197425,3132786,3142264,3141648,3120340,3122516,3178926,3145618,3151672,3168698,3151610,3166356,3180413,3150717
"Washington : commercial","number of customers","ELEC.CUSTOMERS.WA-COM.M",347668,346301,350105,344882,350563,348662,351559,350863,352595,353086,349141,350844,351145,346438,352439,350401,352845,349774,352992,350905,352521,352232,349329,351026,352303,350870,355025,352674,353503,351374,354094,353530,355122,352483,353217,355732,352136,350797,356408,352461,355000,353642,354584,354451,356919,353475,354795,355499,352915,354428,357524,353872,357798,354327,357577,357362,356206,358113,356879,355310,360852,357676,361273,358441,363525,358626,363417,360018,362325,363804,361052,359196,358454,355044,359886,357081,361177,356717,361973,358964,361276,360944,359579,359501,362424,362938,364436,363047,365024,362496,366721,362842,369200,368626,365337,368010,360806,360114,367895,362622,365675,365040,364491,367704,375644,374432,374970,374813,378033,377421,382649,376991,382944,380176,380463,383594,381550,383310,383221,381988,384043,380601,385993,381452,385514,383762,385650,387108,384226,385986,385604,382446,387994,383266,389234,384455,392121,387060,392775,386946,388677,396221,391070,389912,404640,399756,402769,407266,404604,402415,407972,404000,407126,394711,403757
"Washington : industrial","number of customers","ELEC.CUSTOMERS.WA-IND.M",23365,23384,30762,23974,23504,23586,31140,31405,30957,24380,22723,23193,25784,25728,32700,26013,25866,32665,32785,32908,32685,26298,24655,25697,24640,24722,33914,25370,24803,25167,33710,34152,33926,25186,24106,25949,24060,24308,30149,24868,24979,25286,29883,30446,30215,29841,29627,30483,26398,27452,27765,27453,27758,27259,27427,27971,27204,27879,28525,29168,27481,27439,27630,27334,28369,27872,28148,28097,27911,28415,27467,27527,30177,29592,30153,30619,30670,30225,30752,30408,30447,30747,29615,30291,28698,28610,29154,29168,29172,29529,29181,29699,29481,29848,28516,28885,28541,28888,29690,29330,28826,29329,28432,29706,28980,29023,28489,28923,27339,27334,28094,27598,28212,28507,27758,28675,27969,27670,26973,27734,27418,26310,26806,27485,27571,28119,27723,28173,27350,27104,26309,27040,26167,25306,26153,27333,27331,27347,27532,27416,26911,27141,26212,27073,28582,28090,28322,30055,29060,29560,29719,29357,29359,26739,27658
"Washington : transportation","number of customers","ELEC.CUSTOMERS.WA-TRA.M",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,6,5,5,6,5,6,5,6,5,6,5,6,6,7,7,7,6,6,6,7,6,7,6,6,6,6,6,7,6,7,7,7,6,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Washington : other","number of customers","ELEC.CUSTOMERS.WA-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Noncontiguous","number of customers","ELEC.CUSTOMERS.PCN-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Noncontiguous : all sectors","number of customers","ELEC.CUSTOMERS.PCN-ALL.M",787132,786148,787776,788555,789244,789501,790929,790195,792422,791773,788867,788682,791190,789940,791790,791569,792077,792092,794223,793929,795128,794587,793170,794614,793939,793541,795920,795582,795153,797356,797287,798496,799743,798547,798227,798790,799233,798280,800463,800423,800529,802446,802087,803529,804526,803449,804268,803270,804100,804316,804703,805003,804377,806493,806127,807196,806736,808033,806784,806695,807910,807600,808750,809894,811229,811486,812955,812956,813246,814149,812386,813120,813632,813015,814288,809042,821805,822320,823250,823574,824813,826017,825631,826125,820401,820677,821886,822688,823071,824207,824890,825387,826301,826342,825306,826023,825802,826457,828020,828420,829302,830323,830228,831748,832389,832314,832412,832396,832385,832377,833591,833650,834863,835770,835896,837445,837158,838061,837381,837573,837096,836925,837831,838555,841316,841438,839607,840417,840001,841243,840580,840255,841841,841414,842459,842968,844340,844503,845429,845667,846065,847345,846136,846413,847904,847580,848586,848923,849232,850424,851879,852040,852710,850377,852654
"Pacific Noncontiguous : residential","number of customers","ELEC.CUSTOMERS.PCN-RES.M",676606,675789,676729,677808,678406,678737,679537,679321,681145,681030,678449,678342,680595,679858,681221,681482,681876,681787,683386,683587,684583,684497,683482,684712,683663,683591,685014,685444,685068,687078,686782,687936,688738,688353,688159,688449,688912,688208,689654,690059,690370,691783,691603,693058,693629,692886,693506,692918,693256,693516,693823,694326,693347,695826,695198,696174,695924,697013,695982,695788,696551,696523,697496,698729,699552,699906,701026,701130,701301,702101,700527,701016,700581,700180,701135,697779,707454,708181,709245,709546,710707,711501,711314,711596,707436,707684,708782,709481,709848,710907,711435,712019,712714,712752,711982,712430,712401,713052,712095,712175,712989,714377,714088,715524,715918,715865,715954,715955,715634,715804,716796,716935,717866,718532,718538,719905,719996,721038,721027,721707,721528,721531,722332,722981,725434,725508,723657,724361,723922,725210,724678,724329,725615,725102,726001,726559,727410,727541,728235,728511,728834,729875,728923,729126,730607,730501,731420,731552,731922,733043,734394,734762,735339,734539,735173
"Pacific Noncontiguous : commercial","number of customers","ELEC.CUSTOMERS.PCN-COM.M",108615,108456,108749,108825,108945,108874,109116,108584,108998,108851,108553,108473,108693,108186,108329,108168,108289,108065,108586,108101,108290,108142,107780,107962,108386,108061,108619,108227,108193,108366,108211,108253,108693,108274,108170,108424,108513,108266,108799,108537,108319,108819,108454,108439,108855,108514,108722,108299,108898,108854,108925,108715,109043,108723,108975,109057,108850,109043,108804,108897,109360,109076,109256,109180,109657,109561,109902,109801,109930,110036,109863,110108,111085,110857,111161,109257,112343,112129,111990,112013,112086,112494,112315,112522,110973,110996,111105,111202,111215,111272,111424,111321,111514,111489,111230,111500,111275,111270,113785,114104,114173,113793,113991,114062,114311,114296,114326,114304,114619,114446,114660,114579,114833,115060,115184,115346,114972,114871,114219,113704,113384,113249,113346,113382,113673,113702,113725,113824,113848,113835,113721,113703,114294,114387,114542,114475,114978,115003,115231,115187,115259,115519,115273,115336,115088,114881,114955,115124,115056,115127,115230,115026,115129,114046,115275
"Pacific Noncontiguous : industrial","number of customers","ELEC.CUSTOMERS.PCN-IND.M",1911,1903,2298,1922,1893,1890,2276,2290,2279,1892,1865,1867,1902,1896,2240,1919,1912,2240,2251,2241,2255,1948,1908,1940,1890,1889,2287,1911,1892,1912,2294,2307,2312,1920,1898,1917,1808,1806,2010,1827,1840,1844,2030,2032,2042,2049,2040,2053,1946,1946,1955,1962,1987,1944,1954,1965,1962,1977,1998,2010,1999,2001,1998,1985,2020,2019,2027,2025,2015,2012,1996,1996,1966,1978,1992,2006,2008,2010,2015,2015,2020,2022,2002,2007,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM",1952,1959,1963,1969,1972,1951,1940,1951,"NM","NM","NM","NM","NM","NM","NM","NM","NM",1792,"NM"
"Pacific Noncontiguous : transportation","number of customers","ELEC.CUSTOMERS.PCN-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pacific Noncontiguous : other","number of customers","ELEC.CUSTOMERS.PCN-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska","number of customers","ELEC.CUSTOMERS.AK-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaska : all sectors","number of customers","ELEC.CUSTOMERS.AK-ALL.M",315101,314857,315725,316147,317198,317773,318635,318670,319497,319325,317374,316628,316506,316244,317367,317306,318002,318932,319534,319759,320333,319794,318698,319030,319022,318930,320110,320034,320757,321839,322073,322726,323081,322364,321444,321416,321568,321144,322491,322463,322524,324165,324338,325202,325486,324877,324785,324177,324057,324336,324552,324861,323795,326153,325811,326748,326260,327214,326088,325581,326089,325647,326197,326559,327564,327919,328734,328807,329133,329670,328614,328186,328661,328126,328856,322895,335337,335835,336607,336944,337651,338273,337873,337699,331677,331668,332583,333387,333680,334411,334993,335469,336042,336294,335076,335380,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM",338282,338307,339073,339129,340120,341092,341026,342212,341820,342470,341618,341354,340681,340517,341113,341603,344251,344908,343234,343856,343469,344137,343534,343067,343896,343352,343978,344369,345532,345680,346191,346336,346555,347522,346283,346243,347988,347646,348171,348596,348850,349464,350662,350767,351164,344243,350427
"Alaska : residential","number of customers","ELEC.CUSTOMERS.AK-RES.M",267237,266908,267195,268005,268879,269489,269730,269834,270569,270742,268983,268318,268044,267884,268629,268830,269394,270029,270357,270795,271231,271112,270186,270456,270135,270144,270698,271117,271699,272737,272583,273175,273349,273170,272358,272300,272105,271798,272711,272971,273184,274180,274409,275281,275406,275067,274722,274383,274206,274357,274505,274973,273764,276066,275728,276541,276180,276964,276021,275531,275729,275436,275794,276359,277001,277446,278080,278246,278480,278940,278060,277664,276855,276421,276946,273275,282735,283298,283878,284135,284763,285230,284939,284726,280100,280101,280862,281519,281760,282448,282867,283396,283818,284050,283136,283337,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM",283752,283845,284470,284600,285302,286130,285972,287018,286811,287381,286674,286400,285751,285653,286103,286518,288849,289445,287756,288257,287822,288556,288047,287523,288195,287607,288139,288549,289298,289437,289784,289971,290084,290894,289831,289714,291408,291221,291687,291964,292183,292748,293838,293994,294176,288829,293375
"Alaska : commercial","number of customers","ELEC.CUSTOMERS.AK-COM.M",46631,46726,46909,46907,47101,47065,47302,47222,47316,47353,47191,47104,47247,47147,47195,47246,47381,47348,47617,47405,47537,47428,47287,47334,47683,47582,47810,47697,47848,47880,47878,47932,48112,47958,47872,47874,48346,48225,48463,48357,48202,48840,48597,48583,48741,48477,48732,48451,48616,48736,48797,48632,48771,48833,48828,48942,48820,48979,48777,48748,49068,48914,49105,48912,49241,49149,49325,49229,49325,49408,49246,49206,50532,50437,50631,48332,51313,51243,51433,51515,51588,51743,51652,51689,50308,50297,50446,50588,50635,50661,50823,50753,50894,50912,50625,50732,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM",53185,53120,53249,53170,53435,53564,53666,53787,53605,53718,53592,53570,53548,53520,53661,53696,54000,54048,54065,54183,54235,54207,54135,54155,54591,54640,54744,54701,55099,55105,55266,55222,55326,55504,55339,55406,55189,55042,55091,55205,55233,55281,55385,55335,55553,54431,55656
"Alaska : industrial","number of customers","ELEC.CUSTOMERS.AK-IND.M",1233,1223,1621,1235,1218,1219,1603,1614,1612,1230,1200,1206,1215,1213,1543,1230,1227,1555,1560,1559,1565,1254,1225,1240,1204,1204,1602,1220,1210,1222,1612,1619,1620,1236,1214,1242,1117,1121,1317,1135,1138,1145,1332,1338,1339,1333,1331,1343,1235,1243,1250,1256,1260,1254,1255,1265,1260,1271,1290,1302,"NM","NM","NM",1288,"NM","NM","NM","NM","NM",1322,"NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM","NM",983,"NM"
"Alaska : transportation","number of customers","ELEC.CUSTOMERS.AK-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska : other","number of customers","ELEC.CUSTOMERS.AK-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
